indicator,related_indicator,similarity_score
2.a.1,8.3.1,0.2992259269195954
2.a.1,9.5.1,0.22039096925780632
2.a.1,16.6.1,0.21116958627350293
2.a.1,5.a.1,0.20711363109420505
2.a.1,3.8.2,0.20284698030589726
2.a.2,9.a.1,0.7252286573512768
2.a.2,17.9.1,0.7004035824423587
2.a.2,4.b.1,0.6136063582879512
2.a.2,3.b.2,0.5875555089245791
2.a.2,10.b.1,0.47584391391047975
2.a.2,8.a.1,0.4566871751365279
2.a.2,17.2.1,0.2818841909222246
2.a.2,6.a.1,0.23607636104618118
2.b.1,17.11.1,0.27195801055923546
2.b.1,12.c.1,0.22170748099091941
2.c.1,8.9.1,0.21113140256097823
3.1.1,3.2.2,0.2710408515115502
3.1.1,3.2.1,0.22497994594443033
3.1.1,3.7.2,0.20922654890631381
3.2.1,3.2.2,0.37269018748948257
3.2.1,5.3.1,0.2238831114362099
3.2.1,3.7.2,0.22274846938376605
3.3.1,3.3.2,0.3130360400662211
3.3.2,3.3.3,0.32427876522995913
3.4.1,3.9.1,0.345481781913234
3.4.2,3.9.3,0.33415748532775824
3.6.1,8.8.1,0.36863513735645576
3.6.1,16.1.1,0.21063280344340962
3.7.2,5.3.2,0.34364895500693093
3.7.2,5.3.1,0.3105500929928367
3.7.2,16.9.1,0.24240884792488882
3.7.2,16.2.3,0.21564440443976576
3.7.2,5.5.2,0.20877095686893488
3.8.2,9.5.1,0.3502328762987635
3.9.2,6.b.1,0.2489072769653983
3.b.2,4.b.1,0.534039687217392
3.b.2,9.a.1,0.46530857099914424
3.b.2,17.9.1,0.44938073911643317
3.b.2,8.a.1,0.291637581999603
3.b.2,17.2.1,0.21324098045382958
4.1.1,4.c.1,0.3677175630318717
4.1.1,4.1.2,0.2977166863995253
4.1.1,4.2.2,0.219242280008116
4.1.2,16.2.3,0.2783006124596734
4.1.2,5.3.1,0.2598367192609552
4.1.2,4.2.2,0.20185434456908663
4.2.1,4.2.2,0.20247470323498964
4.2.2,4.3.1,0.2953453183984653
4.2.2,4.c.1,0.22954645399608653
4.2.2,5.3.1,0.22600339996344396
4.3.1,8.6.1,0.31622638977554685
4.3.1,4.6.1,0.2562615172445888
4.6.1,5.3.1,0.3291316155435899
4.6.1,8.6.1,0.2980354191427275
4.6.1,16.2.3,0.24469673938560274
4.7.1,13.3.1,0.7137798949658254
4.7.1,12.8.1,0.7137798949658254
4.7.1,4.c.1,0.22060045525153277
4.a.1,5.c.1,1.0000000000000002
4.a.1,5.4.1,1.0000000000000002
4.b.1,9.a.1,0.5748657987388421
4.b.1,17.9.1,0.5551877477247129
4.b.1,8.a.1,0.360303854189642
4.b.1,17.2.1,0.2634487181038193
4.c.1,12.8.1,0.20295004380784168
4.c.1,13.3.1,0.20295004380784168
5.2.1,5.2.2,0.8117054382545297
5.2.1,16.2.3,0.4232792664464239
5.2.1,16.1.3,0.37213216459543275
5.2.2,16.2.3,0.5004749134607389
5.2.2,16.1.3,0.39204343308130224
5.2.2,5.6.1,0.2055068224506118
5.3.1,16.2.3,0.46367429781975944
5.3.1,5.6.1,0.3407752206201074
5.3.1,16.9.1,0.2448940327282485
5.4.1,5.c.1,1.0000000000000002
5.6.1,16.2.3,0.21857185354155223
5.6.2,14.c.1,0.26642384241915834
5.a.1,5.a.2,0.30250343659239015
5.a.1,15.3.1,0.20313211952612936
5.a.2,11.3.1,0.25603666001208086
5.a.2,15.3.1,0.2466924354655999
5.b.1,9.c.1,0.26853117806375926
5.b.1,17.8.1,0.2658468284628361
6.1.1,6.3.2,0.3126218379558811
6.1.1,6.2.1,0.23744766386012794
6.1.1,6.6.1,0.2340260815065908
6.3.2,6.6.1,0.3950630257493734
6.3.2,6.5.2,0.24187055007462693
6.3.2,6.b.1,0.20974908268231449
6.4.1,6.4.2,0.291105244768447
6.4.2,15.1.2,0.20080923088192534
6.4.2,6.6.1,0.20060769030860945
6.5.2,6.6.1,0.24345693079196085
6.6.1,15.3.1,0.20625006460553907
6.a.1,8.a.1,0.3401517942356871
6.a.1,17.2.1,0.33072547280253983
6.a.1,6.b.1,0.30243552488758035
6.a.1,17.9.1,0.2644164393352282
6.a.1,10.b.1,0.24609070965797447
6.a.1,9.a.1,0.22117147911378976
6.a.1,16.6.1,0.21600709851461153
6.b.1,11.3.2,0.24208351350827925
7.1.1,9.1.1,0.22491765969086738
7.1.1,7.b.1,0.21074577612354725
7.1.1,12.a.1,0.21074577612354725
7.2.1,7.b.1,0.3010988525969053
7.2.1,12.a.1,0.3010988525969053
7.2.1,7.a.1,0.2930690241642732
7.2.1,7.3.1,0.2450249586825749
7.2.1,10.2.1,0.22158619297377394
7.3.1,7.a.1,0.3004954762947077
7.3.1,9.5.1,0.20929942638158847
7.a.1,7.b.1,0.36694883778549975
7.a.1,12.a.1,0.36694883778549975
7.b.1,12.a.1,1.0
8.1.1,8.2.1,0.5431707211227415
8.1.1,10.1.1,0.39948162080371713
8.1.1,9.2.1,0.3680043195895446
8.1.1,17.3.2,0.2680630907502968
8.1.1,14.7.1,0.21628460717630654
8.1.1,9.5.1,0.2026064588356249
8.2.1,10.1.1,0.3334811440383889
