Indicator,Goal,Target,degree,btwn,eigen.vector,eigen.value
6.2.1,6,6.2,2,0,3.4034797491846254e-4,8.403587622039566
6.3.2,6,6.3,4,388.108570514453,0.011787280025260066,8.403587622039566
6.4.1,6,6.4,1,0,5.538671480628012e-5,8.403587622039566
6.4.2,6,6.4,3,257.5773809523809,4.6544711097133387e-4,8.403587622039566
6.5.2,6,6.5,2,0,0.0016756629317065466,8.403587622039566
6.6.1,6,6.6,5,925.9697488785724,0.0022943002463392684,8.403587622039566
6.a.1,6,6.a,9,1847.0939763097174,0.74945473660972906,8.403587622039566
6.b.1,6,6.b,4,813.9325964884792,0.09324766043726415,8.403587622039566
7.1.1,7,7.1,4,452.36416459357633,0.004690826372581993,8.403587622039566
7.2.1,7,7.2,5,464.5903048524587,0.020428310425670348,8.403587622039566
7.3.1,7,7.3,3,468.4714796785288,0.016911480587709606,8.403587622039566
7.a.1,7,7.a,5,631.9365088263004,0.11450362795475078,8.403587622039566
7.b.1,7,7.b,4,256.39478070948684,0.018858798177435503,8.403587622039566
8.1.1,8,8.1,6,376.6410515730582,0.001395738374047708,8.403587622039566
8.2.1,8,8.2,7,1762.8528634516313,7.641584180941237e-4,8.403587622039566
8.3.1,8,8.3,4,406.1589242796875,0.0020535433659109844,8.403587622039566
8.4.1,8,8.4,3,0,7.180537428788762e-17,8.403587622039566
8.4.2,8,8.4,3,0,7.566015978562494e-17,8.403587622039566
8.5.1,8,8.5,1,0,6.126174374859149e-5,8.403587622039566
8.5.2,8,8.5,1,0,9.093240321433535e-5,8.403587622039566
8.6.1,8,8.6,5,1718.9702270523458,2.014817469134087e-4,8.403587622039566
8.7.1,8,8.7,3,3.333333333333333,1.276012593018594e-6,8.403587622039566
8.8.1,8,8.8,1,0,2.3259164355613053e-17,8.403587622039566
8.8.2,8,8.8,1,0,0.0017258542633922238,8.403587622039566
8.9.1,8,8.9,2,1,2.3010669580472073e-17,8.403587622039566
8.a.1,8,8.a,9,26.97533962398184,0.8710124971545619,8.403587622039566
8.b.1,8,8.b,3,62.12356158048259,3.2960250655690733e-4,8.403587622039566
9.1.1,9,9.1,2,0,6.798469601638219e-4,8.403587622039566
9.2.1,9,9.2,4,111.03860028860021,3.5554698676491835e-4,8.403587622039566
9.2.2,9,9.2,6,271.4997183261459,5.14818431470081e-4,8.403587622039566
9.3.1,9,9.3,4,154.12871572871583,2.473996281998265e-4,8.403587622039566
9.3.2,9,9.3,2,0,2.119922883307102e-4,8.403587622039566
9.4.1,9,9.4,3,19.081024531024536,9.95261250816443e-5,8.403587622039566
9.5.1,9,9.5,8,936.2767591213092,0.007185170556817012,8.403587622039566
9.5.2,9,9.5,3,0,8.694678812280918e-17,8.403587622039566
9.a.1,9,9.a,9,26.97533962398184,0.8710124971545619,8.403587622039566
9.b.1,9,9.b,4,117.97615440115437,2.3342989784061674e-4,8.403587622039566
9.c.1,9,9.c,1,0,2.028920349169375e-17,8.403587622039566
