Indicator,Goal,Target,degree,btwn,eigen.vector,eigen.value
2.2.1,2,2.2,31,0.44531949531949533,0,36.548117764175316
2.2.2,2,2.2,37,0.49679487179487175,0.9868526777059276,36.548117764175316
2.5.1,2,2.5,37,4.027777777777776,0.9702338441505443,36.548117764175316
2.5.2,2,2.5,34,3.6619861619861616,0,36.548117764175316
2.a.1,2,2.a,34,3.6619861619861616,0,36.548117764175316
3.2.1,3,3.2,37,0.49679487179487175,0.9868526777059277,36.548117764175316
3.2.2,3,3.2,37,0.49679487179487175,0.9868526777059273,36.548117764175316
3.3.2,3,3.3,32,1.8861786361786361,0,36.548117764175316
3.3.3,3,3.3,37,0.49679487179487175,0.9868526777059282,36.548117764175316
3.3.5,3,3.3,38,4.441239316239314,0.9931800144324875,36.548117764175316
3.4.1,3,3.4,35,5.53141673141673,0,36.548117764175316
3.4.2,3,3.4,37,0.49679487179487175,0.9868526777059279,36.548117764175316
3.6.1,3,3.6,37,0.49679487179487175,0.9868526777059276,36.548117764175316
3.8.1,3,3.8,35,5.53141673141673,0,36.548117764175316
3.8.2,3,3.8,36,0.125,0.9651261231585269,36.548117764175316
3.b.1,3,3.b,39,38.625,0.9719461087260389,36.548117764175316
3.d.2,3,3.d,37,0.49679487179487175,0.9868526777059277,36.548117764175316
4.2.2,4,4.2,32,1.8861786361786361,0,36.548117764175316
4.3.1,4,4.3,37,0.49679487179487175,0.9868526777059277,36.548117764175316
4.5.1,4,4.5,32,1.8861786361786361,0,36.548117764175316
5.b.1,5,5.b,37,0.49679487179487175,0.9868526777059276,36.548117764175316
6.2.1,6,6.2,37,0.49679487179487175,0.9868526777059273,36.548117764175316
6.4.1,6,6.4,35,5.53141673141673,0,36.548117764175316
6.4.2,6,6.4,38,4.441239316239314,0.9931800144324885,36.548117764175316
6.5.1,6,6.5,35,5.53141673141673,0,36.548117764175316
6.6.1,6,6.6,34,3.6619861619861616,0,36.548117764175316
7.1.1,7,7.1,37,0.49679487179487175,0.9868526777059277,36.548117764175316
7.1.2,7,7.1,37,0.49679487179487175,0.9868526777059273,36.548117764175316
7.2.1,7,7.2,34,3.6619861619861616,0,36.548117764175316
7.3.1,7,7.3,40,44.0277777777778,0.9770538297180572,36.548117764175316
7.a.1,7,7.a,35,13.64034114034114,0,36.548117764175316
7.b.1,7,7.b,37,0.49679487179487175,0.9868526777059267,36.548117764175316
8.1.1,8,8.1,31,2.4444444444444433,0.8157912287555751,36.548117764175316
8.2.1,8,8.2,32,0,0.8615855039832303,36.548117764175316
8.3.1,8,8.3,31,0.44531949531949533,0,36.548117764175316
8.8.2,8,8.8,36,0.125,0.965126123158527,36.548117764175316
8.9.1,8,8.9,29,39.209114959114956,0,36.548117764175316
9.1.2,9,9.1,34,3.6619861619861616,0,36.548117764175316
9.4.1,9,9.4,37,0.49679487179487175,0.9868526777059282,36.548117764175316
9.5.1,9,9.5,38,4.441239316239314,0.9931800144324883,36.548117764175316
9.5.2,9,9.5,37,0.49679487179487175,0.9868526777059276,36.548117764175316
