,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
59,13.1.3,15.1.1,pearson,two-sided,9,-0.9207456381720511,[-0.98 -0.66],0.0004267473287459184,73.297,0.9810209094260373
60,13.1.3,16.2.2,pearson,two-sided,9,-0.9150650579140498,[-0.98 -0.64],0.0005406560401146953,61.528,0.9764849023030767
61,13.1.3,3.2.2,pearson,two-sided,9,0.9209793364180904,[0.66 0.98],0.0004224580650717896,73.846,0.9811962675669501
62,13.1.3,17.4.1,pearson,two-sided,9,-0.13316046262873787,[-0.73  0.58],0.7327042503942489,0.428,0.06268008852679981
63,13.1.3,1.5.1,pearson,two-sided,9,0.7211519473064097,[0.11 0.94],0.028335256042890455,3.28,0.6441814532647242
64,13.1.3,3.3.5,pearson,two-sided,9,0.7457004719036503,[0.16 0.94],0.02107158001900834,4.073,0.6927349014667202
65,13.1.3,2.1.2,pearson,two-sided,9,-0.9460715966165665,[-0.99 -0.76],0.00011373799001803119,194.299,0.9948673128282579
66,13.1.3,15.6.1,pearson,two-sided,9,0.9131730478628891,[0.63 0.98],0.0005828884674822065,58.195,0.974858284023728
67,13.1.3,17.3.1,pearson,two-sided,9,-0.8850347869944166,[-0.98 -0.54],0.001513393907556867,28.681,0.9442277472899265
68,13.1.3,9.4.1,pearson,two-sided,9,-0.960265476054442,[-0.99 -0.82],3.96029383788391e-05,421.14,0.99842095200686
69,13.1.3,7.b.1,pearson,two-sided,9,0.9004985714441239,[0.59 0.98],0.0009271740971940317,41.259,0.962509974915339
70,13.1.3,2.1.1,pearson,two-sided,9,0.8727567125167053,[0.5  0.97],0.002131930914606068,22.235,0.9274597148677052
71,13.1.3,17.1.1,pearson,two-sided,9,-0.8130125242241922,[-0.96 -0.32],0.007712088382946339,8.555,0.825575112921398
72,13.1.3,8.2.1,pearson,two-sided,9,0.0038053652784154693,[-0.66  0.67],0.9922478670606977,0.406,0.04886053866496222
73,13.1.3,17.3.2,pearson,two-sided,9,0.9345991235540093,[0.71 0.99],0.00022087007330795182,119.203,0.989871007033243
74,13.1.3,10.c.1,pearson,two-sided,9,0.7264289964992001,[0.12 0.94],0.026653584215425,3.43,0.6545422128448017
75,13.1.3,3.3.3,pearson,two-sided,9,0.8300223198253001,[0.37 0.96],0.0056217201606928715,10.818,0.8571658419427561
76,13.1.3,1.4.1,pearson,two-sided,9,0.9197470207314822,[0.66 0.98],0.00044542004471758036,71.012,0.9802615323636239
77,13.1.3,3.3.2,pearson,two-sided,9,-0.4968203723785972,[-0.87  0.25],0.1736428195467056,0.92,0.2885488409941877
78,13.1.3,16.3.2,pearson,two-sided,9,0.920746378288663,[0.66 0.98],0.0004267336967965234,73.298,0.9810214661902816
79,13.1.3,3.3.1,pearson,two-sided,9,-0.8429284360416502,[-0.97 -0.41],0.004321410467057525,13.152,0.87999616911908
80,13.1.3,15.2.1,pearson,two-sided,9,0.9518477557671255,[0.78 0.99],7.694602650328568e-05,258.885,0.9966360883145133
81,13.1.2,8.8.2,pearson,two-sided,9,0.7739035766739805,[0.23 0.95],0.014389112926805567,5.393,0.7490577966813196
82,13.1.2,17.9.1,pearson,two-sided,9,0.20784142649417542,[-0.53  0.77],0.5915362733833793,0.462,0.08348795320062798
83,13.1.2,13.1.1,pearson,two-sided,9,0.09511044785526203,[-0.61  0.71],0.807697254922491,0.417,0.055837758952867314
84,13.1.2,6.1.1,pearson,two-sided,9,-0.7288050217582622,[-0.94 -0.13],0.025918304861513586,3.501,0.6592230708298769
85,13.1.2,3.b.1,pearson,two-sided,9,-0.7428553270356998,[-0.94 -0.16],0.021841771684367614,3.968,0.6870687051501804
86,13.1.2,11.6.2,pearson,two-sided,9,-0.7341132821498924,[-0.94 -0.14],0.024324070078420044,3.667,0.6697124953490731
87,13.1.2,10.4.1,pearson,two-sided,9,-0.5002093934617078,[-0.87  0.25],0.17026293290841224,0.932,0.292493905190589
88,13.1.2,6.5.1,pearson,two-sided,9,0.7639592490718838,[0.2  0.95],0.01655336766274874,4.864,0.7292033644391495
89,13.1.2,1.a.2,pearson,two-sided,9,-0.6331043638214708,[-0.91  0.05],0.06721533654407753,1.762,0.4824061092002907
90,13.1.2,4.2.2,pearson,two-sided,9,0.7637752536955602,[0.2  0.95],0.016595333156093045,4.855,0.7288356117797574
91,13.1.2,7.1.1,pearson,two-sided,9,-0.7718358198492357,[-0.95 -0.22],0.014822536587997615,5.277,0.7449342962563053
92,13.1.2,7.3.1,pearson,two-sided,9,0.6386878581558721,[-0.04  0.91],0.06410079818404588,1.822,0.4918978078132397
93,13.1.2,3.9.3,pearson,two-sided,9,-0.7639592490718932,[-0.95 -0.2 ],0.016553367662746614,4.864,0.729203364439168
94,13.1.2,7.1.2,pearson,two-sided,9,0.7691134847613968,[0.21 0.95],0.015406355530189153,5.128,0.7395007715069744
95,13.1.2,17.8.1,pearson,two-sided,9,0.7802252154431683,[0.24 0.95],0.013116785532419111,5.775,0.7616384888656822
96,13.1.2,11.5.1,pearson,two-sided,9,0.09511044785526203,[-0.61  0.71],0.807697254922491,0.417,0.055837758952867314
97,13.1.2,4.5.1,pearson,two-sided,9,-0.19767460432414213,[-0.76  0.54],0.6101840854350891,0.456,0.08004392823286473
98,13.1.2,6.2.1,pearson,two-sided,9,-0.66883405803816,[-0.92 -0.01],0.04885807661716508,2.211,0.5450982701132712
99,13.1.2,11.5.2,pearson,two-sided,9,0.34156018906019936,[-0.42  0.82],0.3683251317278141,0.582,0.14969636840546155
100,13.1.2,12.4.2,pearson,two-sided,9,-0.0925296856593978,[-0.71  0.61],0.8128398024728528,0.417,0.05546009411340019
101,13.1.2,4.3.1,pearson,two-sided,9,-0.7563189853635084,[-0.95 -0.19],0.018356150262642423,4.508,0.7139312137410446
102,13.1.2,7.2.1,pearson,two-sided,9,-0.5731369300295219,[-0.9   0.15],0.10669494504703261,1.276,0.38808573962766885
103,13.1.2,2.a.1,pearson,two-sided,9,-0.7112571929167988,[-0.93 -0.09],0.03167267342271045,3.025,0.6249021796528834
104,13.1.2,6.4.2,pearson,two-sided,9,0.7046376042970005,[0.08 0.93],0.034042497114977484,2.87,0.6121259446572326
105,13.1.2,6.6.1,pearson,two-sided,9,-0.8104531252254488,[-0.96 -0.32],0.008066369763185182,8.275,0.8207038641966491
106,13.1.2,3.8.1,pearson,two-sided,9,0.7639592490718758,[0.2  0.95],0.016553367662750562,4.864,0.7292033644391335
107,13.1.2,10.5.1,pearson,two-sided,9,-0.9110781121241238,[-0.98 -0.63],0.0006322832131952958,54.794,0.9729904240099391
108,13.1.2,6.4.1,pearson,two-sided,9,-0.7541586810035508,[-0.94 -0.18],0.018888558552904826,4.414,0.7096144468574566
109,13.1.2,10.7.3,pearson,two-sided,9,0.48102858855635156,[-0.27  0.87],0.18989284172173343,0.868,0.27072612504064125
110,13.1.2,11.1.1,pearson,two-sided,9,-0.7390522884822395,[-0.94 -0.15],0.022900000729772475,3.832,0.6795072730789813
111,13.1.2,14.b.1,pearson,two-sided,9,0.7639592490718841,[0.2  0.95],0.016553367662748692,4.864,0.7292033644391499
112,13.1.2,2.c.1,pearson,two-sided,9,-0.47684116506806784,[-0.87  0.27],0.19433996742669513,0.855,0.2661529719732117
113,13.1.2,14.1.1,pearson,two-sided,9,-0.6810657644445158,[-0.93 -0.03],0.043407593738923125,2.407,0.5675666812724208
114,13.1.2,12.c.1,pearson,two-sided,9,0.7849536677307694,[0.25 0.95],0.012216047414982827,6.086,0.7710147906165145
115,13.1.2,11.b.1,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
116,13.1.2,2.2.2,pearson,two-sided,9,0.7143572715333647,[0.1  0.93],0.0306008790152986,3.101,0.6309202056867365
117,13.1.2,9.5.2,pearson,two-sided,9,-0.6804949653386945,[-0.93 -0.03],0.043652790585068865,2.398,0.566507643080383
118,13.1.2,3.4.1,pearson,two-sided,9,0.7503674857315008,[0.17 0.94],0.01984749554821568,4.256,0.7020433205342881
119,13.1.2,15.5.1,pearson,two-sided,9,-0.7539275617570346,[-0.94 -0.18],0.018946117699230876,4.404,0.7091527117444022
