,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
91,13.1.2,11.6.2,pearson,two-sided,9,-0.5536486079373235,[-0.89  0.17],0.12197841594037248,1.164,0.3605012466981397
92,13.1.2,10.4.1,pearson,two-sided,9,0.6368902095909783,[-0.05  0.91],0.06509342110310393,1.802,0.4888291402601346
93,13.1.2,6.5.1,pearson,two-sided,9,0.6454972243679009,[-0.03  0.92],0.060427420184429835,1.9,0.5036302658290344
94,13.1.2,1.a.2,pearson,two-sided,9,0.6172638209163694,[-0.08  0.91],0.07656155821385799,1.607,0.45612245490271536
95,13.1.2,4.2.2,pearson,two-sided,9,0.6152392027276954,[-0.08  0.91],0.07781113454374197,1.589,0.4528327924344235
96,13.1.2,15.8.1,pearson,two-sided,9,0.7669649888473676,[0.21 0.95],0.01587780383518923,5.016,0.7352096439208394
97,13.1.2,7.1.1,pearson,two-sided,9,-0.5585191314342228,[-0.89  0.17],0.11804344411640803,1.191,0.36725379542693554
98,13.1.2,3.d.2,pearson,two-sided,9,-0.6454972243679009,[-0.92  0.03],0.060427420184429835,1.9,0.5036302658290344
99,13.1.2,7.3.1,pearson,two-sided,9,-0.6126525602280328,[-0.91  0.09],0.07942590277571623,1.566,0.44865316775115427
100,13.1.2,7.1.2,pearson,two-sided,9,-0.5970104962223465,[-0.9   0.11],0.0896324534904341,1.439,0.42393759143510407
101,13.1.2,17.8.1,pearson,two-sided,9,0.7355547562546446,[0.14 0.94],0.023902589743806997,3.714,0.6725679160078154
102,13.1.2,11.5.1,pearson,two-sided,9,-0.008632564808538135,[-0.67  0.66],0.9824149754596893,0.406,0.048906459204717964
103,13.1.2,4.5.1,pearson,two-sided,9,0.630399850116716,[-0.06  0.91],0.06875741515356308,1.733,0.4778507388564125
104,13.1.2,6.2.1,pearson,two-sided,9,-0.6343567544862025,[-0.91  0.05],0.06650865628647935,1.775,0.4845249419017051
105,13.1.2,11.5.2,pearson,two-sided,9,0.07220808099430301,[-0.62  0.7 ],0.8535365617151295,0.413,0.05286025839651353
