Var1,Var2,value
17.17.1,15.2.1,0.744828128618086
1.5.4,3.3.5,0.74570047190365
11.b.2,3.3.5,0.74570047190365
13.1.3,3.3.5,0.74570047190365
1.5.3,3.3.3,0.745785414942171
11.b.1,3.3.3,0.745785414942171
13.1.2,3.3.3,0.745785414942171
3.3.5,9.4.1,-0.745815231844315
2.2.2,17.1.1,-0.747595991551467
1.a.2,17.3.2,-0.747622649393998
9.5.2,12.a.1,-0.748103132799418
9.5.2,7.b.1,-0.748103132799418
10.5.1,12.a.1,-0.748634850551803
10.5.1,7.b.1,-0.748634850551803
9.5.2,16.2.2,0.749344905028069
1.5.3,17.3.1,-0.749466358743429
11.b.1,17.3.1,-0.749466358743429
13.1.2,17.3.1,-0.749466358743429
11.b.1,3.4.1,0.750367485731501
13.1.2,3.4.1,0.750367485731501
3.4.1,1.5.3,0.750367485731501
7.2.1,17.17.1,-0.751089521933495
7.a.1,8.2.1,-0.752330767982483
1.5.3,14.7.1,-0.752365278282815
11.b.1,14.7.1,-0.752365278282815
13.1.2,14.7.1,-0.752365278282815
2.1.2,10.c.1,-0.752719401914187
10.4.1,15.6.1,-0.753720583452725
2.2.1,17.13.1,0.753900876795552
11.b.1,15.5.1,-0.753927561757035
13.1.2,15.5.1,-0.753927561757035
15.5.1,1.5.3,-0.753927561757035
13.1.2,6.4.1,-0.754158681003551
6.4.1,1.5.3,-0.754158681003551
6.4.1,11.b.1,-0.754158681003551
9.5.2,9.1.2,0.754205776083888
17.17.1,2.1.2,-0.755592048096915
7.2.1,10.c.1,-0.755688124763633
7.2.1,17.3.1,0.756118833645448
13.1.2,4.3.1,-0.756318985363508
4.3.1,1.5.3,-0.756318985363508
4.3.1,11.b.1,-0.756318985363508
16.6.1,17.13.1,0.75660152533066
2.a.1,3.3.5,-0.756838281675297
2.2.1,1.3.1,0.7571069297785
10.5.1,16.2.2,0.757453612778874
8.8.2,17.17.1,0.757754210325125
7.1.2,17.17.1,0.758798864980429
7.3.1,15.6.1,0.758986434885545
16.6.1,17.17.1,0.759047411046625
3.b.1,17.17.1,-0.759224820136569
14.1.1,17.13.1,-0.760472822940333
10.4.1,8.3.1,0.761081516126153
1.5.3,3.2.1,-0.761445494772216
11.b.1,3.2.1,-0.761445494772216
13.1.2,3.2.1,-0.761445494772216
1.a.2,7.3.1,-0.762798859909265
6.4.2,3.3.3,0.763585554704527
13.1.2,4.2.2,0.76377525369556
4.2.2,1.5.3,0.76377525369556
4.2.2,11.b.1,0.76377525369556
3.b.1,17.1.1,0.763893835871066
1.5.3,16.3.2,0.763959249071874
11.b.1,16.3.2,0.763959249071874
13.1.2,16.3.2,0.763959249071874
13.1.2,3.8.1,0.763959249071876
3.8.1,1.5.3,0.763959249071876
3.8.1,11.b.1,0.763959249071876
11.b.1,3.6.1,-0.763959249071878
13.1.2,3.6.1,-0.763959249071878
3.6.1,1.5.3,-0.763959249071878
11.b.1,3.4.2,0.763959249071879
13.1.2,3.4.2,0.763959249071879
3.4.2,1.5.3,0.763959249071879
13.1.2,14.b.1,0.763959249071884
13.1.2,6.5.1,0.763959249071884
14.b.1,1.5.3,0.763959249071884
14.b.1,11.b.1,0.763959249071884
6.5.1,1.5.3,0.763959249071884
6.5.1,11.b.1,0.763959249071884
13.1.2,3.9.3,-0.763959249071893
3.9.3,1.5.3,-0.763959249071893
3.9.3,11.b.1,-0.763959249071893
1.5.3,15.1.1,-0.763960861211977
11.b.1,15.1.1,-0.763960861211977
13.1.2,15.1.1,-0.763960861211977
2.a.1,3.3.3,-0.764408891596294
10.4.1,12.a.1,-0.76466517866792
10.4.1,7.b.1,-0.76466517866792
10.4.1,6.4.2,-0.76523010954185
11.1.1,9.5.2,0.76543831232609
17.13.1,3.3.5,0.765680090210251
6.2.1,3.3.5,-0.765895708282249
17.13.1,1.5.2,0.766217505184697
17.17.1,3.2.1,-0.766522722330389
9.5.2,15.2.1,-0.766566735593312
14.1.1,17.3.1,0.767431160336912
17.17.1,1.4.1,0.767488342488956
17.3.1,3.3.1,0.768400753911452
17.17.1,15.1.1,-0.768450438566031
3.6.1,17.17.1,-0.768450634648524
3.9.3,17.17.1,-0.768450634648531
6.5.1,17.17.1,0.768450634648531
3.8.1,17.17.1,0.768450634648534
14.b.1,17.17.1,0.768450634648536
17.17.1,16.3.2,0.768450634648537
17.17.1,3.4.2,0.768450634648538
17.17.1,9.1.2,-0.76866848870983
6.4.2,3.3.5,0.769070701166523
13.1.2,7.1.2,0.769113484761397
7.1.2,1.5.3,0.769113484761397
7.1.2,11.b.1,0.769113484761397
11.6.2,17.1.1,0.769270058496882
11.5.2,3.3.5,0.770237024611293
14.1.1,2.2.2,-0.770421165582951
7.1.1,14.1.1,0.770506518801252
7.1.1,9.5.2,0.771399108004106
6.4.1,17.17.1,-0.77160905622898
13.1.2,7.1.1,-0.771835819849236
7.1.1,1.5.3,-0.771835819849236
7.1.1,11.b.1,-0.771835819849236
12.c.1,17.17.1,0.771893306622288
1.a.2,17.17.1,-0.772086471263848
9.5.2,1.4.1,-0.772262212873476
8.3.1,3.3.2,0.772425264794379
11.5.2,17.3.2,0.773404678954021
1.5.3,3.2.2,0.773459655230662
11.b.1,3.2.2,0.773459655230662
13.1.2,3.2.2,0.773459655230662
7.3.1,6.2.1,-0.773479670206199
16.2.2,17.1.1,0.773836967555427
13.1.2,8.8.2,0.77390357667398
8.8.2,1.5.3,0.77390357667398
8.8.2,11.b.1,0.77390357667398
