Var1,Var2,value
14.1.1,2.2.2,-0.861652483906834
11.6.2,3.3.2,-0.861805799319809
2.a.1,9.4.1,-0.861911061077924
17.8.1,3.8.2,-0.861932578732902
7.2.1,12.a.1,-0.862078058333386
7.2.1,7.b.1,-0.862078058333386
12.a.1,12.b.1,-0.862317421641366
7.b.1,12.b.1,-0.862317421641366
2.2.1,15.2.1,-0.862432642534684
6.4.1,2.5.1,-0.86268396019332
6.4.1,14.1.1,0.863028546461936
15.8.1,17.1.1,-0.863092742534438
7.a.1,15.2.1,-0.863480422034597
14.1.1,17.1.1,-0.863825959161295
11.6.2,3.2.2,0.863849833502256
14.1.1,15.5.1,0.863976857802382
11.6.2,17.8.1,-0.86402593937731
7.1.1,2.5.2,-0.864225380142122
17.13.1,15.6.1,-0.865072186994857
11.6.2,10.4.1,-0.865246970894208
14.1.1,3.2.1,-0.865412881880555
11.6.2,6.4.1,-0.86553294347205
1.a.2,15.2.1,-0.865728586176607
9.1.2,3.3.5,-0.865964849474382
6.6.1,10.5.1,-0.866032784224928
14.1.1,3.2.2,-0.866102236077749
15.8.1,12.a.1,-0.866218012451509
15.8.1,7.b.1,-0.866218012451509
7.1.1,2.a.1,-0.866446494834574
3.b.1,12.a.1,0.866908341153325
3.b.1,7.b.1,0.866908341153325
15.8.1,6.2.1,-0.866933736663654
10.4.1,17.13.1,0.867176915213685
6.6.1,2.1.1,-0.8673460143192
1.1.1,15.2.1,0.867462270773634
5.b.1,15.2.1,0.867550722053565
15.1.1,2.5.1,0.867566864842248
9.1.2,12.b.1,0.867635061362357
15.1.1,12.b.1,-0.867682136453205
11.6.2,17.1.1,0.8678825180963
10.4.1,2.5.1,-0.868214917471655
2.2.2,17.13.1,-0.868371362352543
17.13.1,2.1.1,-0.868543799819503
11.6.2,8.3.1,-0.869103193872995
1.a.2,2.1.1,-0.869567170488212
1.a.2,12.a.1,-0.869675463656199
1.a.2,7.b.1,-0.869675463656199
10.c.1,2.5.2,0.869775929721168
1.a.2,17.13.1,0.869895927944023
9.1.2,15.2.1,-0.870802381034161
7.2.1,9.4.1,-0.871872731438843
6.2.1,14.1.1,-0.87210768550212
2.2.1,17.13.1,0.872185633632594
4.2.2,16.2.2,-0.872376314919845
7.2.1,12.c.1,0.87264061368658
13.1.2,14.1.1,0.87304662567918
14.1.1,1.5.3,0.87304662567918
14.1.1,11.b.1,0.87304662567918
8.8.2,2.5.2,-0.873059343272152
2.2.1,3.3.5,-0.873195044109721
9.5.2,17.13.1,-0.873228871208698
8.8.2,10.c.1,-0.873826665808815
3.8.2,2.a.1,-0.874346393929491
4.2.2,2.1.1,-0.874412026108549
