"","Var1","Var2","value","abs","tie"
"162","10.4.1","11.5.1",-0.525010736001405,0.525010736001405,0
"163","6.5.1","11.5.1",0.612724107289187,0.612724107289187,1
"164","1.a.2","11.5.1",-0.562699654361321,0.562699654361321,0
"165","4.2.2","11.5.1",0.608199719110551,0.608199719110551,1
"166","7.1.1","11.5.1",-0.57694234431193,0.57694234431193,0
"167","7.3.1","11.5.1",0.487322187148765,0.487322187148765,0
"168","3.9.3","11.5.1",-0.612724107289178,0.612724107289178,0
"169","7.1.2","11.5.1",0.613892326459362,0.613892326459362,1
"170","17.8.1","11.5.1",0.611411726643067,0.611411726643067,1
"171","11.5.1","11.5.1",1,1,1
"172","13.1.3","4.5.1",-0.0649593522288134,0.0649593522288134,0
"173","13.1.2","4.5.1",-0.197674604324142,0.197674604324142,0
"174","8.8.2","4.5.1",-0.257291245286449,0.257291245286449,0
"175","17.9.1","4.5.1",-0.0370632595225224,0.0370632595225224,0
"176","13.1.1","4.5.1",-0.120794435469322,0.120794435469322,0
"177","6.1.1","4.5.1",0.0787171307309284,0.0787171307309284,0
"178","3.b.1","4.5.1",0.246372032417122,0.246372032417122,0
"179","11.6.2","4.5.1",-0.0282521049326134,0.0282521049326134,0
"180","10.4.1","4.5.1",0.0562329552204031,0.0562329552204031,0
"181","6.5.1","4.5.1",-0.226090700099989,0.226090700099989,0
"182","1.a.2","4.5.1",-0.00973634752642277,0.00973634752642277,0
"183","4.2.2","4.5.1",-0.211211101440152,0.211211101440152,0
"184","7.1.1","4.5.1",0.217596754348653,0.217596754348653,0
"185","7.3.1","4.5.1",0.0531562957983566,0.0531562957983566,0
"186","3.9.3","4.5.1",0.226090700100002,0.226090700100002,0
"187","7.1.2","4.5.1",-0.210780087052723,0.210780087052723,0
"188","17.8.1","4.5.1",-0.216955927272237,0.216955927272237,0
"189","11.5.1","4.5.1",-0.120794435469322,0.120794435469322,0
"190","4.5.1","4.5.1",1,1,1
"191","13.1.3","6.2.1",-0.860786436451425,0.860786436451425,0
"192","13.1.2","6.2.1",-0.66883405803816,0.66883405803816,0
"193","8.8.2","6.2.1",-0.916962975261444,0.916962975261444,0
"194","17.9.1","6.2.1",0.161449431543831,0.161449431543831,0
"195","13.1.1","6.2.1",-0.614385311995794,0.614385311995794,0
"196","6.1.1","6.2.1",0.944276465669434,0.944276465669434,1
"197","3.b.1","6.2.1",0.968690547129938,0.968690547129938,1
"198","11.6.2","6.2.1",0.956596866523839,0.956596866523839,1
"199","10.4.1","6.2.1",0.937373526318478,0.937373526318478,1
"200","6.5.1","6.2.1",-0.938699851130912,0.938699851130912,0
"201","1.a.2","6.2.1",0.915114843922534,0.915114843922534,1
"202","4.2.2","6.2.1",-0.893431956926762,0.893431956926762,0
"203","7.1.1","6.2.1",0.799823805564642,0.799823805564642,1
"204","7.3.1","6.2.1",-0.773479670206199,0.773479670206199,0
"205","3.9.3","6.2.1",0.938699851130911,0.938699851130911,1
"206","7.1.2","6.2.1",-0.937015512405531,0.937015512405531,0
"207","17.8.1","6.2.1",-0.925312675433578,0.925312675433578,0
"208","11.5.1","6.2.1",-0.614385311995794,0.614385311995794,0
"209","4.5.1","6.2.1",0.085262156008731,0.085262156008731,0
"210","6.2.1","6.2.1",1,1,1
"211","13.1.3","11.5.2",0.668811514606301,0.668811514606301,1
"212","13.1.2","11.5.2",0.341560189060199,0.341560189060199,0
"213","8.8.2","11.5.2",0.687967658066424,0.687967658066424,1
"214","17.9.1","11.5.2",0.26792498362433,0.26792498362433,0
"215","13.1.1","11.5.2",0.900184418127082,0.900184418127082,1
"216","6.1.1","11.5.2",-0.580824720235844,0.580824720235844,0
"217","3.b.1","11.5.2",-0.622731259366823,0.622731259366823,0
"218","11.6.2","11.5.2",-0.694552435412462,0.694552435412462,0
"219","10.4.1","11.5.2",-0.518132699131142,0.518132699131142,0
"220","6.5.1","11.5.2",0.679620220441345,0.679620220441345,1
"221","1.a.2","11.5.2",-0.517319270858243,0.517319270858243,0
"222","4.2.2","11.5.2",0.730850353955858,0.730850353955858,1
"223","7.1.1","11.5.2",-0.620974774854782,0.620974774854782,0
"224","7.3.1","11.5.2",0.449627370164346,0.449627370164346,0
"225","3.9.3","11.5.2",-0.67962022044133,0.67962022044133,0
"226","7.1.2","11.5.2",0.706620364649601,0.706620364649601,1
"227","17.8.1","11.5.2",0.689487556349046,0.689487556349046,1
"228","11.5.1","11.5.2",0.900184418127082,0.900184418127082,1
"229","4.5.1","11.5.2",-0.100082785005257,0.100082785005257,0
"230","6.2.1","11.5.2",-0.64615159919913,0.64615159919913,0
"231","11.5.2","11.5.2",1,1,1
"232","13.1.3","12.4.2",0.0225955885238698,0.0225955885238698,0
"233","13.1.2","12.4.2",-0.0925296856593978,0.0925296856593978,0
"234","8.8.2","12.4.2",-0.27642891389254,0.27642891389254,0
"235","17.9.1","12.4.2",0.111398264699537,0.111398264699537,0
"236","13.1.1","12.4.2",-0.0884951357058876,0.0884951357058876,0
"237","6.1.1","12.4.2",0.197566654594684,0.197566654594684,0
"238","3.b.1","12.4.2",0.260200634790818,0.260200634790818,0
"239","11.6.2","12.4.2",0.140696000725312,0.140696000725312,0
"240","10.4.1","12.4.2",0.364517246977482,0.364517246977482,0
"241","6.5.1","12.4.2",-0.235053888784844,0.235053888784844,0
"242","1.a.2","12.4.2",-0.0247206202356072,0.0247206202356072,0
"243","4.2.2","12.4.2",-0.230236800507899,0.230236800507899,0
"244","7.1.1","12.4.2",-0.0179357034309236,0.0179357034309236,0
"245","7.3.1","12.4.2",0.201286675368013,0.201286675368013,0
"246","3.9.3","12.4.2",0.235053888784833,0.235053888784833,0
"247","7.1.2","12.4.2",-0.255029344244685,0.255029344244685,0
"248","17.8.1","12.4.2",-0.207377499175235,0.207377499175235,0
"249","11.5.1","12.4.2",-0.0884951357058876,0.0884951357058876,0
"250","4.5.1","12.4.2",0.624573308423053,0.624573308423053,1
"251","6.2.1","12.4.2",0.268414052262444,0.268414052262444,0
"252","11.5.2","12.4.2",-0.184291817114075,0.184291817114075,0
"253","12.4.2","12.4.2",1,1,1
"254","13.1.3","4.3.1",-0.914467860623041,0.914467860623041,0
"255","13.1.2","4.3.1",-0.756318985363508,0.756318985363508,0
"256","8.8.2","4.3.1",-0.945298016574064,0.945298016574064,0
"257","17.9.1","4.3.1",0.0528693555933778,0.0528693555933778,0
"258","13.1.1","4.3.1",-0.597777597821815,0.597777597821815,0
"259","6.1.1","4.3.1",0.966125479374598,0.966125479374598,1
"260","3.b.1","4.3.1",0.935229825977199,0.935229825977199,1
"261","11.6.2","4.3.1",0.990846686796346,0.990846686796346,1
"262","10.4.1","4.3.1",0.827353135747005,0.827353135747005,1
"263","6.5.1","4.3.1",-0.962379012992438,0.962379012992438,0
"264","1.a.2","4.3.1",0.883984112819084,0.883984112819084,1
"265","4.2.2","4.3.1",-0.919642069806175,0.919642069806175,0
"266","7.1.1","4.3.1",0.910157386567881,0.910157386567881,1
"267","7.3.1","4.3.1",-0.859642212995468,0.859642212995468,0
"268","3.9.3","4.3.1",0.962379012992435,0.962379012992435,1
"269","7.1.2","4.3.1",-0.963927607619898,0.963927607619898,0
"270","17.8.1","4.3.1",-0.965784044516767,0.965784044516767,0
"271","11.5.1","4.3.1",-0.597777597821815,0.597777597821815,0
"272","4.5.1","4.3.1",-0.0376882538166552,0.0376882538166552,0
"273","6.2.1","4.3.1",0.938139859271371,0.938139859271371,1
"274","11.5.2","4.3.1",-0.686349949978415,0.686349949978415,0
"275","12.4.2","4.3.1",0.0575933765545876,0.0575933765545876,0
"276","4.3.1","4.3.1",1,1,1
"277","13.1.3","7.2.1",-0.907717694784829,0.907717694784829,0
"278","13.1.2","7.2.1",-0.573136930029522,0.573136930029522,0
"279","8.8.2","7.2.1",-0.82248999522191,0.82248999522191,0
"280","17.9.1","7.2.1",0.317377830594734,0.317377830594734,0
"281","13.1.1","7.2.1",-0.545497502110633,0.545497502110633,0
"282","6.1.1","7.2.1",0.875693255029462,0.875693255029462,1
"283","3.b.1","7.2.1",0.892895264439687,0.892895264439687,1
"284","11.6.2","7.2.1",0.859836282756709,0.859836282756709,1
"285","10.4.1","7.2.1",0.846561705360551,0.846561705360551,1
"286","6.5.1","7.2.1",-0.866759874252203,0.866759874252203,0
"287","1.a.2","7.2.1",0.963004175069875,0.963004175069875,1
"288","4.2.2","7.2.1",-0.801870206762518,0.801870206762518,0
"289","7.1.1","7.2.1",0.837563309659591,0.837563309659591,1
"290","7.3.1","7.2.1",-0.843535403219577,0.843535403219577,0
"291","3.9.3","7.2.1",0.866759874252213,0.866759874252213,1
"292","7.1.2","7.2.1",-0.842258470347807,0.842258470347807,0
"293","17.8.1","7.2.1",-0.852928153304657,0.852928153304657,0
"294","11.5.1","7.2.1",-0.545497502110633,0.545497502110633,0
"295","4.5.1","7.2.1",0.0290190359102058,0.0290190359102058,0
"296","6.2.1","7.2.1",0.883538876445271,0.883538876445271,1
"297","11.5.2","7.2.1",-0.437549570765738,0.437549570765738,0
"298","12.4.2","7.2.1",-0.0494009663190321,0.0494009663190321,0
"299","4.3.1","7.2.1",0.867798055165656,0.867798055165656,1
"300","7.2.1","7.2.1",1,1,1
"301","13.1.3","2.a.1",-0.944026329980186,0.944026329980186,0
"302","13.1.2","2.a.1",-0.711257192916799,0.711257192916799,0
"303","8.8.2","2.a.1",-0.899367512685773,0.899367512685773,0
"304","17.9.1","2.a.1",0.10715629597085,0.10715629597085,0
"305","13.1.1","2.a.1",-0.588052162511996,0.588052162511996,0
"306","6.1.1","2.a.1",0.902192384689441,0.902192384689441,1
"307","3.b.1","2.a.1",0.936798338107295,0.936798338107295,1
"308","11.6.2","2.a.1",0.885843722792008,0.885843722792008,1
"309","10.4.1","2.a.1",0.791229522631998,0.791229522631998,1
"310","6.5.1","2.a.1",-0.9388471343158,0.9388471343158,0
"311","1.a.2","2.a.1",0.92637060773392,0.92637060773392,1
"312","4.2.2","2.a.1",-0.88750420205895,0.88750420205895,0
"313","7.1.1","2.a.1",0.945201956211855,0.945201956211855,1
"314","7.3.1","2.a.1",-0.879724624753011,0.879724624753011,0
"315","3.9.3","2.a.1",0.938847134315809,0.938847134315809,1
"316","7.1.2","2.a.1",-0.919734505801176,0.919734505801176,0
"317","17.8.1","2.a.1",-0.935006487115495,0.935006487115495,0
"318","11.5.1","2.a.1",-0.588052162511996,0.588052162511996,0
"319","4.5.1","2.a.1",0.184529110676689,0.184529110676689,0
"320","6.2.1","2.a.1",0.885723493057637,0.885723493057637,1
"321","11.5.2","2.a.1",-0.5550248374157,0.5550248374157,0
"322","12.4.2","2.a.1",-0.00705346756011096,0.00705346756011096,0
"323","4.3.1","2.a.1",0.909932992054853,0.909932992054853,1
"324","7.2.1","2.a.1",0.956255204111442,0.956255204111442,1
"325","2.a.1","2.a.1",1,1,1
"326","13.1.3","6.4.2",0.92364430671556,0.92364430671556,1
"327","13.1.2","6.4.2",0.704637604297,0.704637604297,1
"328","8.8.2","6.4.2",0.917675456447944,0.917675456447944,1
"329","17.9.1","6.4.2",-0.230767718871794,0.230767718871794,0
"330","13.1.1","6.4.2",0.583708625885869,0.583708625885869,1
"331","6.1.1","6.4.2",-0.91402464600891,0.91402464600891,0
"332","3.b.1","6.4.2",-0.930557447432535,0.930557447432535,0
"333","11.6.2","6.4.2",-0.906044500001602,0.906044500001602,0
"334","10.4.1","6.4.2",-0.76523010954185,0.76523010954185,0
"335","6.5.1","6.4.2",0.930260509419064,0.930260509419064,1
"336","1.a.2","6.4.2",-0.93727726353355,0.93727726353355,0
"337","4.2.2","6.4.2",0.86832377550399,0.86832377550399,1
"338","7.1.1","6.4.2",-0.943997718780001,0.943997718780001,0
"339","7.3.1","6.4.2",0.87488384107084,0.87488384107084,1
"340","3.9.3","6.4.2",-0.930260509419075,0.930260509419075,0
"341","7.1.2","6.4.2",0.909713611553527,0.909713611553527,1
"342","17.8.1","6.4.2",0.931126900708575,0.931126900708575,1
"343","11.5.1","6.4.2",0.583708625885869,0.583708625885869,1
"344","4.5.1","6.4.2",-0.104605404011038,0.104605404011038,0
"345","6.2.1","6.4.2",-0.877947961266832,0.877947961266832,0
"346","11.5.2","6.4.2",0.550158083559546,0.550158083559546,1
"347","12.4.2","6.4.2",0.0464378056135367,0.0464378056135367,0
"348","4.3.1","6.4.2",-0.925273633638458,0.925273633638458,0
"349","7.2.1","6.4.2",-0.956210839849498,0.956210839849498,0
"350","2.a.1","6.4.2",-0.976861328111089,0.976861328111089,0
"351","6.4.2","6.4.2",1,1,1
"352","13.1.3","6.6.1",-0.888938167854136,0.888938167854136,0
"353","13.1.2","6.6.1",-0.810453125225449,0.810453125225449,0
"354","8.8.2","6.6.1",-0.972100237730751,0.972100237730751,0
"355","17.9.1","6.6.1",0.0649342333129678,0.0649342333129678,0
"356","13.1.1","6.6.1",-0.536925714427253,0.536925714427253,0
"357","6.1.1","6.6.1",0.958165731645008,0.958165731645008,1
"358","3.b.1","6.6.1",0.981956051647708,0.981956051647708,1
"359","11.6.2","6.6.1",0.944148755519494,0.944148755519494,1
