"","Var1","Var2","value","abs","tie"
"1189","7.1.1","11.b.2",0.458730950996856,0.458730950996856,0
"1190","3.d.2","11.b.2",0.442465660022775,0.442465660022775,0
"1191","7.3.1","11.b.2",0.523027145739231,0.523027145739231,1
"1192","7.1.2","11.b.2",0.416328799109723,0.416328799109723,0
"1193","17.8.1","11.b.2",-0.464193104991072,0.464193104991072,0
"1194","11.5.1","11.b.2",-0.115533826847505,0.115533826847505,0
"1195","4.5.1","11.b.2",-0.459463465429936,0.459463465429936,0
"1196","6.2.1","11.b.2",0.453909470004357,0.453909470004357,0
"1197","11.5.2","11.b.2",-0.262973470676295,0.262973470676295,0
"1198","12.4.2","11.b.2",0.313672226366873,0.313672226366873,0
"1199","8.9.1","11.b.2",-0.415703105869192,0.415703105869192,0
"1200","3.8.2","11.b.2",0.354961138574322,0.354961138574322,0
"1201","4.3.1","11.b.2",0.443656219304805,0.443656219304805,0
"1202","7.2.1","11.b.2",-0.357082992295505,0.357082992295505,0
"1203","2.a.1","11.b.2",-0.185904676462418,0.185904676462418,0
"1204","6.4.2","11.b.2",0.493421340507995,0.493421340507995,0
"1205","6.6.1","11.b.2",-0.419103178443777,0.419103178443777,0
"1206","3.8.1","11.b.2",-0.442465660022767,0.442465660022767,0
"1207","10.5.1","11.b.2",0.379270140668677,0.379270140668677,0
"1208","6.4.1","11.b.2",-0.40285694566581,0.40285694566581,0
"1209","10.7.3","11.b.2",-0.476490527662076,0.476490527662076,0
"1210","11.1.1","11.b.2",0.507369680322797,0.507369680322797,1
"1211","2.c.1","11.b.2",0.400042138962477,0.400042138962477,0
"1212","14.1.1","11.b.2",-0.50884178101796,0.50884178101796,0
"1213","1.1.1","11.b.2",0.457765969602643,0.457765969602643,0
"1214","12.c.1","11.b.2",-0.247504527963338,0.247504527963338,0
"1215","11.b.1","11.b.2",-0.67610555201368,0.67610555201368,0
"1216","2.2.2","11.b.2",0.426047760243305,0.426047760243305,0
"1217","9.5.2","11.b.2",0.37276395299505,0.37276395299505,0
"1218","3.4.1","11.b.2",-0.442465660022767,0.442465660022767,0
"1219","15.5.1","11.b.2",-0.436062118229112,0.436062118229112,0
"1220","8.3.1","11.b.2",-0.524093447719086,0.524093447719086,0
"1221","1.5.4","11.b.2",1,1,1
"1222","8.1.1","11.b.2",0.244464462074977,0.244464462074977,0
"1223","3.6.1","11.b.2",0.442465660022769,0.442465660022769,0
"1224","16.6.1","11.b.2",0.46928888522466,0.46928888522466,0
"1225","11.b.2","11.b.2",1,1,1
"1226","13.1.3","2.2.1",-0.495059796325742,0.495059796325742,0
"1227","13.1.2","2.2.1",0.741346803211399,0.741346803211399,1
"1228","8.8.2","2.2.1",-0.92473497386828,0.92473497386828,0
"1229","17.9.1","2.2.1",0.139456293445382,0.139456293445382,0
"1230","13.1.1","2.2.1",0.492741304794203,0.492741304794203,0
"1231","3.b.1","2.2.1",-0.936660346439408,0.936660346439408,0
"1232","11.6.2","2.2.1",-0.820764954500375,0.820764954500375,0
"1233","10.4.1","2.2.1",0.962215423727698,0.962215423727698,1
"1234","6.5.1","2.2.1",0.97036824424844,0.97036824424844,1
"1235","1.a.2","2.2.1",0.931993545964908,0.931993545964908,1
"1236","4.2.2","2.2.1",0.907835340938248,0.907835340938248,1
"1237","15.8.1","2.2.1",0.969189759124063,0.969189759124063,1
"1238","7.1.1","2.2.1",-0.930245968675393,0.930245968675393,0
"1239","3.d.2","2.2.1",-0.97036824424844,0.97036824424844,0
"1240","7.3.1","2.2.1",-0.900690023797735,0.900690023797735,0
"1241","7.1.2","2.2.1",-0.952734419155927,0.952734419155927,0
"1242","17.8.1","2.2.1",0.982800280071,0.982800280071,1
"1243","11.5.1","2.2.1",0.492741304794203,0.492741304794203,0
"1244","4.5.1","2.2.1",0.941053911604514,0.941053911604514,1
"1245","6.2.1","2.2.1",-0.955744066918545,0.955744066918545,0
"1246","11.5.2","2.2.1",-0.285990088860917,0.285990088860917,0
"1247","12.4.2","2.2.1",-0.786680945836089,0.786680945836089,0
"1248","8.9.1","2.2.1",0.709361510147487,0.709361510147487,1
"1249","3.8.2","2.2.1",-0.822729443899057,0.822729443899057,0
"1250","4.3.1","2.2.1",-0.97030730095473,0.97030730095473,0
"1251","7.2.1","2.2.1",0.935450135403372,0.935450135403372,1
"1252","2.a.1","2.2.1",0.913902372604571,0.913902372604571,1
"1253","6.4.2","2.2.1",-0.92722186384419,0.92722186384419,0
"1254","6.6.1","2.2.1",0.977707626494941,0.977707626494941,1
"1255","3.8.1","2.2.1",0.97036824424844,0.97036824424844,1
"1256","10.5.1","2.2.1",-0.852577622021924,0.852577622021924,0
"1257","6.4.1","2.2.1",0.973319367286454,0.973319367286454,1
"1258","10.7.3","2.2.1",0.0464470703720077,0.0464470703720077,0
"1259","11.1.1","2.2.1",-0.9285387245233,0.9285387245233,0
"1260","2.c.1","2.2.1",0.165032527833408,0.165032527833408,0
"1261","14.1.1","2.2.1",0.903482247197886,0.903482247197886,1
"1262","1.1.1","2.2.1",-0.946340993396898,0.946340993396898,0
"1263","12.c.1","2.2.1",0.729184730525285,0.729184730525285,1
"1264","11.b.1","2.2.1",0.741346803211399,0.741346803211399,1
"1265","2.2.2","2.2.1",-0.951973301797027,0.951973301797027,0
"1266","9.5.2","2.2.1",-0.962697555168263,0.962697555168263,0
