"Goal","Target","Indicator","SeriesCode","UniqueID"
12,"12.6","12.6.1","EN_SCP_FRMN","EN_SCP_FRMN                      ADVANCED"
12,"12.8","12.8.1","SE_GCEDESD_CUR","SE_GCEDESD_CUR"
12,"12.a","12.a.1","EG_EGY_RNEW","EG_EGY_RNEW"
12,"12.b","12.b.1","ST_EEV_STDACCT","ST_EEV_STDACCT"
12,"12.c","12.c.1","ER_FFS_CMPT_PC","ER_FFS_CMPT_PC"
13,"13.1","13.1.3","SG_DSR_SILN","SG_DSR_SILN"
13,"13.3","13.3.1","SE_GCEDESD_CUR","SE_GCEDESD_CUR"
14,"14.1","14.1.1","EN_MAR_CHLANM","EN_MAR_CHLANM                    High"
14,"14.4","14.4.1","ER_H2O_FWTL","ER_H2O_FWTL"
14,"14.5","14.5.1","ER_MRN_MARIN","ER_MRN_MARIN              A"
14,"14.6","14.6.1","ER_REG_UNFCIM","ER_REG_UNFCIM              A"
14,"14.7","14.7.1","EN_SCP_FSHGDP","EN_SCP_FSHGDP"
14,"14.b","14.b.1","ER_REG_SSFRAR","ER_REG_SSFRAR              A"
15,"15.1","15.1.1","AG_LND_FRST","AG_LND_FRST"
15,"15.2","15.2.1","AG_LND_FRSTCHG","AG_LND_FRSTCHG"
15,"15.3","15.3.1","AG_LND_DGRD","AG_LND_DGRD"
15,"15.4","15.4.1","ER_PTD_MTN","ER_PTD_MTN"
15,"15.5","15.5.1","ER_RSK_LST","ER_RSK_LST"
15,"15.6","15.6.1","ER_CBD_ORSPGRFA","ER_CBD_ORSPGRFA"
15,"15.8","15.8.1","ER_IAS_GLOFUN","ER_IAS_GLOFUN"
15,"15.9","15.9.1","ER_BDY_ABT2NP","ER_BDY_ABT2NP                 ABT2ACHIEVE"
15,"15.a","15.a.1","DC_ODA_BDVL","DC_ODA_BDVL"
15,"15.b","15.b.1","DC_ODA_BDVL","DC_ODA_BDVL"
16,"16.1","16.1.4","VC_SNS_WALN","VC_SNS_WALN BOTHSEX"
16,"16.10","16.10.2","SG_INF_ACCSS","SG_INF_ACCSS"
16,"16.2","16.2.2","VC_HTF_DETV","VC_HTF_DETV BOTHSEX                 ALLAGE"
16,"16.3","16.3.2","VC_PRS_UNSNT","VC_PRS_UNSNT"
16,"16.5","16.5.2","IC_FRM_BRIB","IC_FRM_BRIB"
16,"16.6","16.6.1","GF_XPD_GBPC","GF_XPD_GBPC"
16,"16.7","16.7.1","SG_DMK_PARLCC_LC","SG_DMK_PARLCC_LC FEMALE   FAFF_DEF              <=45Y"
16,"16.8","16.8.1","SG_INT_MBRDEV","SG_INT_MBRDEV                         IBRD"
16,"16.9","16.9.1","SG_REG_BRTH","SG_REG_BRTH                  <5Y"
16,"16.a","16.a.1","SG_NHR_IMPLN","SG_NHR_IMPLN"
17,"17.1","17.1.1","GR_G14_GDP","GR_G14_GDP              A"
17,"17.10","17.10.1","TM_TAX_WMFN","TM_TAX_WMFN             ARM"
17,"17.12","17.12.1","TM_TAX_DMFN","TM_TAX_DMFN             AGR"
17,"17.13","17.13.1","NE_CON_GOVT_KD_ZG","NE_CON_GOVT_KD_ZG"
17,"17.17","17.17.1","GF_COM_PPPI","GF_COM_PPPI"
17,"17.18","17.18.2","SG_STT_FPOS","SG_STT_FPOS"
17,"17.19","17.19.1","SG_STT_CAPTY","SG_STT_CAPTY"
17,"17.3","17.3.1","GF_FRN_FDI","GF_FRN_FDI"
17,"17.4","17.4.1","DT_TDS_DECT","DT_TDS_DECT"
17,"17.6","17.6.1","IT_NET_BBND","IT_NET_BBND      ANYS"
17,"17.8","17.8.1","IT_USE_ii99","IT_USE_ii99"
17,"17.9","17.9.1","DC_FTA_TOTAL","DC_FTA_TOTAL"
