Target,1.1,1.2,1.3,1.4,1.5,1.a,10.4,10.5,10.6,10.7,10.a,10.b,10.c,11.1,11.5,11.a,11.b,12.1,12.2,12.3,12.4,12.6,12.8,12.a,12.b,12.c,13.1,13.3,14.1,14.4,14.5,14.6,14.7,14.b,15.1,15.2,15.3,15.4,15.5,15.6,15.8,15.a,15.b,16.10,16.2,16.3,16.5,16.6,16.8,16.9,16.a,17.1,17.10,17.12,17.13,17.17,17.18,17.19,17.3,17.4,17.6,17.8,17.9,2.1,2.2,2.3,2.5,2.a,2.c,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.b,3.c,3.d,4.1,4.3,4.5,4.7,4.b,5.2,5.3,5.5,5.a,6.2,6.4,6.5,6.6,6.a,6.b,7.1,7.2,7.3,7.a,7.b,8.1,8.10,8.2,8.3,8.4,8.5,8.6,8.8,8.a,8.b,9.1,9.2,9.4,9.5,9.a,9.b,9.c
10.a,0.9615538025083626,,,-0.9801165197701202,0.2162306597905979,0.42878892749877295,-0.6773934794127024,-0.19604647313128354,0.6793105288788978,-0.3372022517910076,1.0,0.8179845705226143,0.5715321480174862,,-1.0,,-0.8560282969743316,,0.8901128399821727,,,,,-0.6591863425592156,,-0.9052767487719925,0.2162306597905979,,1.0000000000000002,,,,1.0,,0.9420872258765217,,,-0.6839611678215612,0.978548758215702,-0.9712107359700078,,0.7326175629775609,0.7326175629775609,,1.0,-1.0,,-0.6519008876723322,0.6793105288788978,,,-0.48102234188409354,-0.31567242557727426,-0.8531720186399704,-0.29775628117371045,0.17045902437622318,,,0.8442813344831022,-0.16083257583223973,-0.9692910985123508,-0.8693552534580492,-0.11380287838107482,0.2719905207574915,,,,0.5276010426782248,0.8480488682745064,0.9394542783237833,0.9344621201239972,0.9200651326139007,-1.0,,-1.0,,1.0,,-0.8207909305534338,-0.9999999999999999,0.9867540129779862,,1.0,,,0.2374245074922675,,,-1.0000000000000004,,,-0.9841020784141687,,0.9306373764963579,-0.7000424720357448,,-0.9746554730361605,-0.4512384819358842,-0.5757937291939887,-0.6451380908066406,-0.6591863425592156,-0.11854344443671488,-0.2349198439637847,0.0917339267699363,-0.4692522700855106,0.8901128399821727,-0.9544503998155334,-0.9995352417077235,0.7175621689956289,-0.2915207607738458,,-0.816124955921006,0.9772243496538549,0.23666292124719804,0.28649663694239985,-0.3814920026406541,,-0.9995352417077235
10.b,-0.002669364751806301,,,-0.40991371664476023,-0.1842693576931036,0.17390857661823803,0.12210195215039614,-0.385678260124975,0.5824053844149581,-0.13460320311153995,0.8179845705226143,1.0,0.2229747796175688,-0.9603597398495012,1.0,,-0.3273865411063187,,0.09756571165230771,,,,,-0.18896170857196606,,-0.8472899074172651,-0.1842693576931036,,1.0,,,,0.4687888138606508,,0.7704975229819245,,,-0.2402707686392429,0.259062906142625,-0.9222014172866059,,0.43709016529947986,0.43709016529947986,,-0.2255161039598369,-1.0,,-0.7444520721123284,0.5824053844149581,,,-0.6566384314248945,-0.20656520286013674,-0.32865029888395586,-0.004060196055822858,0.04559074483505355,,,0.13359301768188134,0.3479810846211856,-0.043076530573073354,-0.04984020864739359,-0.0856640945047845,0.26299390731656774,,,,-0.14973571613587586,0.6865458633366891,0.04661133279817468,0.23146696941175995,0.5715748404312972,-1.0,,-1.0,,1.0,,-0.181245769198131,1.0,0.5619262320027936,,0.7494699664203652,-1.0,,0.3849569328306333,,,-1.0000000000000002,,,-0.09449095398571672,,0.7839942798374612,-0.28020698839571234,,-0.09287596486995212,-0.21403329942141022,-0.18232242459082484,-0.5346516246245129,-0.18896170857196606,0.12351967053152892,-0.1263409185912186,0.4806710623889732,0.3266831434028554,0.09756571165230771,0.10565210144312188,0.18682743072206584,0.5781715412471149,0.2744656749211914,,-0.19823897983894578,0.573074254882002,0.08499048526257992,0.17273140372913875,-0.01809187475724704,5.165129611980726e-17,-0.026375622361191658
10.c,-0.9990867578003672,,,-0.4490981096318139,0.3177250834039541,0.9371622390223179,1.0,0.4713892989938417,-0.0370074361578138,-0.07094432652673423,0.5715321480174862,0.2229747796175688,1.0,,,,-0.9114609763193905,,-1.0,,,,,0.20772225802302483,,-0.1846694182742111,0.3177250834039541,,1.0,,,,-0.9999999999999998,,0.32863297575916806,,,0.037007436157813794,0.406149859186748,-0.9819805060619656,,-0.7046456213943967,-0.7046456213943967,,,0.9999999999999999,,0.2194679248892493,-0.0370074361578138,,,0.17322019565867505,-0.9713336872841422,-0.913730935560594,0.5128965790830586,-0.5967747905621821,,,0.2164224195825305,-0.4339628521136676,1.0,0.9999999999999999,0.688646384202436,-0.5967747905621824,,,,0.4786478075818006,0.05013182935677707,-1.0,0.2938058143061338,0.22171306815753125,-0.9999999999999998,,-1.0,,-1.0,,0.006804017862645569,1.0,-1.0,,,,,-0.5481487496834573,,,-1.0,,,0.999650725225138,,0.7056404073704063,0.11580602209140069,,-0.39968031050438885,0.45728065465193113,0.928915477808664,0.8762704226137651,0.20772225802302483,-0.7249493330658763,0.18834876239415702,-0.5163247872913728,-0.6789196462071672,-1.0,1.0,1.0000000000000002,-0.7946523184868067,-0.6937165493050692,,-0.19805370409217032,0.4605927305037,-0.8979262410992066,-0.9196185619693467,0.3508070742671175,-2.683453202178013e-15,1.0
11.1,0.9754172691319667,,,-0.8660254037844387,-0.5000158306611733,-0.49999999999999994,-1.0000000000000002,-0.9965358060524414,,-0.9819805060619657,,-0.9603597398495012,,1.0,,,-0.8322397195638238,,1.0000000000000002,,,,,-0.9826830031760636,,,-0.5000158306611733,,,,,,,,,,,-0.5431190441633688,0.947049556922966,,,0.83603746131559,0.83603746131559,,-1.0,,,-0.22430961091831708,,,,0.9850638885222096,,-0.7696460257361054,0.20822942509214934,1.0,,,0.8821417814015347,-0.2972757109687774,-1.0,-1.0,-0.4599695742113042,0.9743547036924465,,,,0.9986044070655208,0.5852057359806527,1.0,0.8880713406453586,0.7696663455760022,,,,,,,-0.8873565094161139,,1.0000000000000002,,,,,1.0,,,,,,-0.9798637100971986,,,-0.5691545679749338,,-0.977355554850442,0.9698149698788001,-0.9112931795128763,0.9808906338862317,-0.9826830031760636,0.9373717011867846,-0.9524733150139756,0.6404640308067905,-0.9996222851612185,1.0000000000000002,-1.0,-1.0000000000000002,,0.8597821341040052,,-0.9764005385883068,-0.02748248549646522,-0.9086547034015481,0.5023529310321789,-0.4473428102730197,-6.525059568555946e-16,-1.0000000000000002
11.5,,,,0.9980773211454136,1.0,1.0,1.0,-0.9471537168205182,-0.5527158974743578,-0.17605933402475094,-1.0,1.0,,,1.0,,-0.49167838039983003,,-1.0,,,,,1.0,,1.0,1.0,,,,,,,,-0.9837452321375995,,,0.5527158974743578,-0.996210594491191,0.9980773211454137,,-1.0,-1.0,,-1.0,,,-0.9986335531217659,-0.5527158974743578,,,-1.0,-1.0,-1.0000000000000002,0.4842318437408724,0.9980773211454138,,,-0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,,,,1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,1.0,,1.0,,-1.0,,,1.0000000000000002,,,,,,-1.0,-1.0,,1.0,,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,,-1.0,-1.0,,-1.0,-1.0,-1.0,1.0,-1.0,,
11.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.b,-0.8216267645731931,,,0.5187911924194145,-0.23720494659987174,-0.517448361904798,-0.3018864501143134,0.044320495261284745,-0.3188341605864715,0.19525023891794097,-0.8560282969743316,-0.3273865411063187,-0.9114609763193905,-0.8322397195638238,-0.49167838039983003,,1.0,,0.3343785935667422,,1.0,,,0.33649015070558436,,0.592127437657495,-0.23720494659987174,,-0.7083884987266041,,,,-0.9078852194471958,-1.0,-0.39378642029378785,,,0.26926367183452377,-0.4234287347873113,0.6108651162268025,,-0.5461044035166374,-0.5461044035166374,,0.5913635926500052,1.0,,0.16323718587482158,-0.3188341605864715,,,-0.14043527383791302,0.5440645917039634,0.9997552780888136,-0.050111664106903625,-0.15022139295165526,,,-0.5742071795148218,0.10158367005963123,0.7571721113648183,0.9456689627142146,-0.3148972174160353,-0.06209461776389803,,,,-0.4218067476098946,-0.42834325590301753,-0.866169538525903,-0.5363238427732384,-0.6441404420596943,1.0,,1.0,,-1.0,,0.13106907387682804,1.0,-0.48068629239850796,,-0.8943367890802891,-1.0,,-0.07763659451253598,,,1.0,,,0.6936889096362286,1.0,-0.8271271174706138,0.4657738918068482,,0.5795656287030784,-0.5995226513082915,0.6760811934122106,-0.40592940676565054,0.33649015070558436,0.307231697459867,0.23073997469450963,0.03774538963549631,0.1116214060789357,0.3343785935667422,0.513846032730277,0.4985551318069284,-0.955382401351754,-0.024415543285296284,,0.46677487181891725,-0.6880532951931037,0.6569179189914897,-0.528704351324014,0.09455691525375502,4.452036136345021e-17,0.8754345083391589
12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,-0.7900197676187443,,,0.6353040168954092,0.2759412997167676,-0.5022974982619177,-0.8770302882635986,0.23691678072840783,0.8559014858073849,-0.23610519939615943,0.8901128399821727,0.09756571165230771,-1.0,1.0000000000000002,-1.0,,0.3343785935667422,,1.0,,,,,0.5318069703158195,,-0.9954985098011856,0.2759412997167676,,,,,,-0.7252830657421311,,0.9998018821179175,,,0.832395890135079,-0.6598222999757393,,,0.4850134935695567,0.4850134935695567,,0.6010382225838348,,,-0.5455391675946819,0.8559014858073849,,,0.22963505562979133,0.4824265659245192,-0.824415818153543,-0.5786861048822565,0.020925818701402744,,,0.10480105033332231,0.06683121306310992,0.8487872191089376,0.5995492651718464,-0.9124585673875317,0.053465078251231514,,,,-0.5353994292902228,0.5889689426415434,-0.7287108533197976,-0.72219404871606,-0.06234242191615441,,,,,1.0,,-0.9616568162586371,,0.36244667267661773,,-0.5204787065606439,1.0,,-0.5793203208470041,,,,,,0.8759771563299131,,,-0.05149900615513761,,0.2548292187661259,-0.6257339380521262,0.22296891391145887,-0.7547212355713331,0.5318069703158195,0.5172616564931942,0.8232370861603794,0.5057348375306949,-0.7843439220675726,1.0,0.9279055203682167,0.8839776269730936,0.9141292374875281,-0.7148889588635392,,0.7077434046952615,-0.7316510437355271,0.718436545283597,-0.8558307907006854,-0.2914772923145021,-1.7687310722133852e-15,-0.952985659054162
12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
