Target,1.1,1.2,1.3,1.4,1.5,1.a,10.1,10.4,10.5,10.6,10.7,10.a,10.b,10.c,11.1,11.5,11.6,11.a,11.b,12.1,12.2,12.3,12.4,12.6,12.8,12.a,12.b,12.c,13.1,13.3,14.1,14.4,14.5,14.6,14.7,14.b,15.1,15.2,15.3,15.4,15.5,15.6,15.8,15.9,15.a,15.b,16.1,16.10,16.2,16.3,16.5,16.6,16.7,16.8,16.9,16.a,17.1,17.10,17.12,17.13,17.17,17.18,17.19,17.3,17.4,17.6,17.8,17.9,2.1,2.2,2.3,2.5,2.a,2.b,2.c,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.a,3.b,3.c,3.d,4.1,4.2,4.3,4.4,4.5,4.7,4.a,4.b,5.2,5.3,5.5,5.a,5.b,6.2,6.4,6.5,6.6,6.a,6.b,7.1,7.2,7.3,7.a,7.b,8.1,8.10,8.2,8.3,8.4,8.5,8.6,8.8,8.9,8.a,8.b,9.1,9.2,9.3,9.4,9.5,9.a,9.b,9.c
10.7,0.07329653068592454,0.0443678254708074,-1.0,0.06826614510317425,-0.22866139334555421,-0.03044577370399277,,-0.07207223787567726,0.11079010814198263,0.5182455236672951,1.0,-0.8080568340063011,0.2688716487852148,-0.7649265237707455,0.5249185447361884,-1.0,,,-0.14636946220386227,,0.2512299253594621,,-0.9999999999999999,,,-0.149527886974314,0.4005920229594356,-0.33852473937474103,-0.22866139334555421,,-0.5451644923535726,,,,0.9168928787500301,,0.33227046563054297,,,0.03436531765121478,-0.10255907642723505,-0.10596010999512807,,,0.1622373566698654,0.1622373566698654,,,-1.0,0.9999999999999999,,-0.5984676969941061,,0.5182455236672951,,,-0.281875224120943,0.25249048687747977,0.031294714788816,-0.6581630379522819,0.2899547594798002,,,-0.9480245454896538,-0.12181547996531053,-0.1725561081221671,-0.20096658872641227,-0.18263868975966974,-0.009965718756431954,,,,-0.4583314605319549,,0.7830323479769605,-0.2692640967746645,0.09197070415022945,0.37434324346063846,1.0,,-1.0,-0.46108396762070397,-1.0,,0.16817961379240162,-0.42011709750708526,-0.13760784910752233,0.5571392350724311,1.0,,,-1.0,,,-0.9232108769966987,0.02101658376170831,,,1.0,,-0.005792355375474133,0.05474608603417361,0.16200490186141567,0.9999999999999999,0.602731968830297,-0.10775843937243512,,-0.0793799861163858,0.3769723560249403,-0.3823190121275622,-0.31044584141540177,-0.149527886974314,-0.06602890278823137,0.2585408958309638,0.3627212198820748,0.4515271944487326,0.2512299253594621,1.0,0.3100604430508142,-0.29392745139824206,-0.2878050676246261,-0.47215875768214416,,-0.18678392424397125,0.07572507620003037,,-0.5772364529759995,0.7918457551211636,-0.3051634558098421,0.26550391214769115,-0.33699933438102664
10.a,-0.7210226610806107,-0.36369927075461167,,0.8246483029129816,0.3573790380361725,-0.2971571370159538,,-0.7807310177370121,-0.7352625077076379,-0.8680516230188654,-0.8080568340063011,1.0,-0.05374055259313574,-0.7438492010586036,-1.0,-1.0000000000000002,,,0.6248714736380647,,0.3620438956187808,,,,,0.8027384610541506,-0.1603744258880377,0.4606127562624742,0.3573790380361725,,1.0,,,,-0.9983790552849536,,-0.9584150913714913,,,0.7662686144518921,-0.8018415180433083,0.600128207090452,,,-0.09444592443371003,-0.09444592443371003,,,,-0.9999999999999999,,0.7084319614485128,,-0.8680516230188654,,,-0.221332997913201,-0.663158844302181,0.03803928186684617,0.55495232817043,-0.23332907634822686,,,0.9470912473674117,0.14794433065318585,0.8301190750640758,0.8723306356714859,-0.13941477836056113,-0.6871264347715517,,,,0.8899216240844624,,-0.6563290094300663,-0.32760260824960463,-0.8165868523680265,-0.9192315144349359,0.9999999999999998,,-1.0,0.15078540211427807,1.0,,-0.5856088192709346,0.8680516230188656,0.9606189744693084,-0.150785402114278,-1.0,,,0.9999999999999999,,,0.9854872733504998,-0.280044492795136,,,,,0.8303472638508237,0.7760795090203033,0.4859199426704885,,0.9219160229884488,0.07525243962891401,,0.800188934801541,-0.8657880562307907,-0.0021923145876459496,0.7471696294777997,0.8027384610541506,0.593342883625899,-0.08298113640302852,-0.7288781961935089,-0.7744288034377484,0.3620438956187808,1.0000000000000002,-0.8218124052321625,-0.11459927005123648,0.15078540211427807,0.08193151229641155,,0.8441785087116632,-0.7347043293827852,,0.9490480639055963,-0.9076675849865139,-0.05026456918256374,,0.8276302745114996
10.b,-0.7390735016326905,-0.9999741089316865,-0.504707944868182,0.7814275653572009,-0.0931499823785567,-0.25705240087710796,,-0.8924143839948853,0.5269507252961703,0.05565150839594202,0.2688716487852148,-0.05374055259313574,1.0,-0.3727058066461139,0.5089431190194498,-1.0,-1.0,,0.4393418359939363,,0.8824761986944863,,,,,0.6906746980814663,0.5112580914639538,-0.8706038190579652,-0.0931499823785567,,1.0,,,,0.5732063447688811,,0.013505897393216212,,,0.7544825009011373,-0.7913805158120496,0.5219288158687349,,,0.3423719066410022,0.3423719066410022,,,0.7574512369515191,0.9999999999999998,,-0.7020548260645444,,0.05565150839594202,,,-0.8860409144029918,-0.5040788880501373,-0.5128637451692505,-0.5758650890323118,0.2726650455312482,,,-0.16336006499674002,0.5573467811841742,0.5775870473477667,0.669671828852678,0.19982582915956812,-0.8425097609011042,-1.0,,,0.6249022375206941,,-0.5266348941968076,-0.9411942582740606,-0.7959250207722716,-0.7847444202099476,1.0,,-1.0,-0.880467206179839,1.0,,0.790059618614807,-0.8024716184031899,0.7138009885233211,0.7894103884443369,0.8839869432100018,,-0.7231169215687715,0.9999999999999999,1.0,,-0.6973068107160902,-0.6645187852024443,,,,,0.4513744720316957,0.7718657790044834,0.7612893206136144,,-0.2751424584319186,-0.8598283283374358,,0.8104010588411468,-0.36622115638701536,-0.7882846964869911,0.3037150820738306,0.6906746980814663,-0.7042791384921626,0.8706973560655361,-0.5128758605103566,-0.04297492398162125,0.8824761986944863,1.0,-0.6398721831088694,0.07467054540780169,0.6759968673829687,0.3572471744972736,,0.6221013038387054,-0.665353347691305,-0.3142365972805766,-0.05188429436402935,0.9280355769673075,0.3711747378759245,-0.4886908198476886,0.4544344567156841
10.c,2.155787765003995e-15,-1.0000000000000002,,-0.654046258875232,0.15777508587408837,0.6865893732701336,,-1.0,0.09281103562350815,0.23362021135876535,-0.7649265237707455,-0.7438492010586036,-0.3727058066461139,1.0,,1.0,,,-0.9636833718549047,,1.0000000000000002,,,,,-0.6856071574280889,0.40883536987783775,0.039607097878406175,0.15777508587408837,,-1.0,,,,0.05514912495003426,,0.676908590324779,,,-0.4335886332954503,0.6269690983024593,-0.966282390121316,,,0.8346792074701718,0.8346792074701718,,,,0.9999999999999998,,0.1263367125128933,,0.23362021135876535,,,0.38036120212739505,0.9625773661198349,0.09188091074439259,0.02733158305830305,0.6659348675684741,,,-0.6578982757507474,-0.6717987288207616,-0.7108652264118916,-0.7308922089537162,0.41253664082449293,0.07625261020726694,,,,0.042515005569205136,,-0.0977172409360214,-1.0,0.6250481106144844,0.39993529167451003,-1.0,,1.0,-1.0,1.0,,0.3507108184174398,-0.23362021135876532,-0.5289885896778472,1.0,1.0,,,,,,-1.0,-0.29276898236212406,,,,,-0.6805886904152035,-0.6181009804936392,0.12909007080917437,,-0.7878675420657287,-0.7507647656537983,,-0.6954785676924947,0.4347376855053988,0.02485429306158566,-0.5946772550034222,-0.6856071574280889,-0.226436089197688,0.5312766183914602,0.4360729940061109,0.9655674197014671,1.0000000000000002,-1.0000000000000002,0.6715877482654681,-0.3479601028621744,-1.0000000000000002,0.9724944405110042,,-0.756975296298952,0.4688289381611519,,-0.5691992739654943,1.0,0.4087792131421662,,-0.28427868412483875
11.1,-0.8051240391513006,,,0.8511524665957575,0.4746603861976176,-0.47466038619761763,,-1.0,-0.35525659128178133,1.0,0.5249185447361884,-1.0,0.5089431190194498,,1.0,,,,,,0.9999999999999999,,,,,0.7669888717918598,0.9995789309338061,-1.0,0.4746603861976176,,,,,,,,1.0,,,0.8657928881740982,-0.8793423899390689,,,,-0.7122865821245029,-0.7122865821245029,,,,,,-0.2538863973834396,,1.0,,,-0.9950374190128348,1.0,-0.9162629574759038,0.23586537997409004,0.9650848797538751,,,-0.5770305762326072,-0.9683876002417107,0.7385221636449985,0.7600893284705251,0.7734621940403308,-0.944703471909118,,,,0.6504212458456208,,0.795626648771188,-1.0,-0.8665906207251592,-0.6097759627889455,,,,,,,1.0,-0.977286153581093,,1.0,,,,,,,-1.0,-0.9821143948277404,,,,,0.9244544752618212,0.8511524665957575,0.9435541954686357,,,-0.9700133460468781,,0.8511524665957575,-0.5249330544744256,-0.9995789309338062,0.4958458339778907,0.7669888717918598,0.751262251962831,0.9993715727504993,0.21739635954042955,1.0,0.9999999999999999,,-0.370564968362355,-1.0,,0.33141406814269847,,0.7325361306209209,-0.8561638613492086,,0.3922514490584593,1.0,0.6835316331830239,0.9995789309338061,0.5875396353830125
11.5,,,,-1.0,1.0,,,,-1.0,,-1.0,-1.0000000000000002,-1.0,1.0,,1.0,,,-1.0,,,,,,,-1.0000000000000002,1.0,1.0000000000000002,1.0,,-1.0000000000000002,,,,,,1.0,,,,1.0,-1.0,,,,,,,,,,1.0000000000000002,,,,,1.0000000000000002,1.0,-1.0,0.9999999999999999,1.0,,,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0,,,,1.0,,1.0000000000000002,,1.0,-1.0,,,,,,,,,-1.0,,,,,,,,,-1.0000000000000002,,,,,-1.0,-1.0,,,-1.0,-1.0,,,,,,-1.0000000000000002,1.0,1.0,1.0,1.0,,,1.0000000000000002,,,1.0,,-1.0,1.0,,,,1.0000000000000002,,
11.6,1.0,,1.0,-1.0,,1.0,,1.0,-1.0,,,,-1.0,,,,1.0,,,,-1.0,,,,,-1.0000000000000002,,,,,,,,,,,,,,-1.0,1.0,,,,0.9999999999999998,0.9999999999999998,,,-1.0,,,1.0000000000000002,,,,,1.0,,1.0,-1.0,1.0,,,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,0.9999999999999999,,,,-1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,-1.0,-1.0,-1.0,,,,,,,-1.0,,,,,,-1.0,-1.0,,,1.0,,-1.0,1.0,0.9999999999999999,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,,-1.0,,1.0,,-1.0,-1.0,,-1.0,1.0,,1.0,,-1.0000000000000002,1.0,
11.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.b,,,,0.5773502691896257,-0.13980360711401787,-0.48795003647426655,,,-0.07565618128224072,-0.40824829046386296,-0.14636946220386227,0.6248714736380647,0.4393418359939363,-0.9636833718549047,,-1.0,,,1.0,,,,,,,0.5845126219087847,-0.06788442333021304,-0.11917507694823129,-0.13980360711401787,,0.9999999999999998,,,,,,-0.6865545299637852,,,0.4770950796574627,-0.5562631723358031,0.9999999999999998,,,,,,,,,,-0.14591806140802502,,-0.40824829046386296,,,-0.38882422346821977,-0.9985814426436783,-0.17740322095427416,-0.03732063964676527,-0.3572939283979492,,,0.3530739724361519,0.21704443508952226,0.6953719680764582,0.6914089420219756,-0.2083670164014566,-0.30390758586359223,,,,0.37905102318202366,,-0.3086066999241838,,-0.5491539755713809,-0.4229289992705298,1.0,,-1.0,,,,,-0.18620973068096458,0.49574460346473487,,,,,,,,,-0.1891397367333878,,,,,0.5421373879350005,0.5572782125753527,,,0.6027319688302971,-0.15576508853939217,,0.46776758111881855,,,,0.5845126219087847,-0.05772836428817267,0.21440837566763674,-0.5886769635772159,-0.8736834283464106,,1.0000000000000002,-0.7723631597236749,,,-0.3133893652027545,,0.6791753686471518,-0.552352444626962,,,,-0.0816813968480337,,0.4899232129906907
12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
