,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
277,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2017.0,0.000484
278,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2018.0,0.00041600000000000003
279,VC_DSR_LSGP                         ,1.0,1.5,1.5.2,VC_DSR_LSGP,2019.0,0.0011480000000000001
280,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2012.0,900280012.28
281,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2013.0,704391153.609
282,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2014.0,980674664.035
283,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2015.0,1350175672.3455
284,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2016.0,736934403.07025
285,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2017.0,491251258.85
286,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2018.0,432797245.7875
287,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2019.0,434089147.5305
288,VC_DSR_HOLH                         ,1.0,1.5,1.5.2,VC_DSR_HOLH,2019.0,808756350.0
289,VC_DSR_CILN                         ,1.0,1.5,1.5.2,VC_DSR_CILN,2015.0,44552970.0
290,VC_DSR_CILN                         ,1.0,1.5,1.5.2,VC_DSR_CILN,2016.0,227554305.0
291,VC_DSR_CILN                         ,1.0,1.5,1.5.2,VC_DSR_CILN,2019.0,42201472.5
292,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2012.0,18.09042
293,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2013.0,17.60393
294,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2014.0,17.67152
295,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2015.0,20.5033
304,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2012.0,9.4
305,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2013.0,8.3
306,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2014.0,7.7
307,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2015.0,7.0
308,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2016.0,6.8
309,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2017.0,6.4
310,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2018.0,6.4
311,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2019.0,6.5
312,AG_PRD_FIESMS FEMALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2015.0,23.9
313,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2015.0,6.0
314,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2015.0,24.1
315,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2016.0,27.1
316,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2016.0,7.3
317,AG_PRD_FIESMS FEMALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2016.0,25.8
318,AG_PRD_FIESMS FEMALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2017.0,29.1
319,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2017.0,7.6
320,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2017.0,31.8
321,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2018.0,35.6
322,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2018.0,7.0
323,AG_PRD_FIESMS FEMALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2018.0,31.1
324,AG_PRD_FIESMS FEMALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2019.0,37.4
325,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2019.0,6.2
326,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2019.0,39.9
327,AG_PRD_FIESMSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2015.0,2242.1
328,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2015.0,1548.7
329,AG_PRD_FIESMSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2015.0,2260.2
330,AG_PRD_FIESMSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2016.0,2579.1
331,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2016.0,1897.1
332,AG_PRD_FIESMSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2016.0,2452.0
333,AG_PRD_FIESMSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2017.0,2814.2
334,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2017.0,1999.9
335,AG_PRD_FIESMSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2017.0,3073.9
336,AG_PRD_FIESMSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2018.0,3500.3
337,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2018.0,1865.1
338,AG_PRD_FIESMSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2018.0,3057.9
339,AG_PRD_FIESMSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2019.0,3734.0
340,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2019.0,1677.8
341,AG_PRD_FIESMSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,2019.0,3983.4
342,AG_PRD_FIESS FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2015.0,8.1
343,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2015.0,0.7
344,AG_PRD_FIESS MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2015.0,10.5
345,AG_PRD_FIESS MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2016.0,11.2
346,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2016.0,0.9
347,AG_PRD_FIESS FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2016.0,9.2
348,AG_PRD_FIESS FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2017.0,11.0
349,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2017.0,0.9
350,AG_PRD_FIESS MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2017.0,12.7
351,AG_PRD_FIESS MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2018.0,14.1
352,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2018.0,0.8
353,AG_PRD_FIESS FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2018.0,11.9
354,AG_PRD_FIESS FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2019.0,14.9
355,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2019.0,0.7
356,AG_PRD_FIESS MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,2019.0,17.2
357,AG_PRD_FIESSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2015.0,763.1
358,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2015.0,175.5
359,AG_PRD_FIESSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2015.0,983.3
360,AG_PRD_FIESSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2016.0,1062.0
361,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2016.0,229.0
362,AG_PRD_FIESSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2016.0,875.9
363,AG_PRD_FIESSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2017.0,1060.6
364,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2017.0,240.1
365,AG_PRD_FIESSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2017.0,1225.4
366,AG_PRD_FIESSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2018.0,1390.8
367,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2018.0,222.7
368,AG_PRD_FIESSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2018.0,1166.7
369,AG_PRD_FIESSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2019.0,1488.0
370,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2019.0,192.7
371,AG_PRD_FIESSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,2019.0,1723.1
372,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2012.0,23.4
373,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2013.0,21.0
374,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2014.0,19.6
375,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2015.0,18.2
376,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2016.0,17.7
377,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2017.0,16.8
378,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2018.0,17.2
379,SN_ITK_DEFCN                         ,2.0,2.1,2.1.1,SN_ITK_DEFCN,2019.0,17.6
380,SH_STA_STNT                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNT,2013.0,36.4
381,SH_STA_STNT                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNT,2018.0,30.8
382,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2012.0,8094.2
383,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2013.0,8077.2
384,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2014.0,8068.6
385,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2015.0,8024.6
386,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2016.0,8068.8
387,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2017.0,7992.9
388,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2018.0,7840.4
389,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2019.0,7668.0
390,SH_STA_STNTN                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNTN,2020.0,7526.1
391,SH_STA_WAST                  <5Y       ,2.0,2.2,2.2.2,SH_STA_WAST,2013.0,13.5
