,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
72,SD_MDP_MUHC MALE         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,2014.0,62.6
73,SD_MDP_ANDI BOTHSEX         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_ANDI,2014.0,48.6
74,SD_MDP_ANDI BOTHSEX         URBAN        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_ANDI,2014.0,44.0
75,SD_MDP_ANDI BOTHSEX         RURAL        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_ANDI,2014.0,50.8
76,SI_COV_MATNL FEMALE                        ,1.0,1.3,1.3.1,SI_COV_MATNL,2016.0,14.0
77,SI_COV_MATNL FEMALE                        ,1.0,1.3,1.3.1,SI_COV_MATNL,2020.0,18.1
78,SI_COV_POOR BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_POOR,2017.0,3.7
79,SI_COV_POOR BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_POOR,2020.0,9.4
80,SI_COV_SOCAST                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2014.0,71.64628
81,SI_COV_SOCAST                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2014.0,59.11319
82,SI_COV_SOCINS                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCINS,2014.0,1.48949
83,SI_COV_SOCINS                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCINS,2014.0,3.9866800000000002
84,SI_COV_CHLD FEMALE                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2017.0,6.2
85,SI_COV_CHLD BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2017.0,3.1
86,SI_COV_CHLD MALE                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2017.0,0.3
87,SI_COV_CHLD FEMALE                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2020.0,5.2
88,SI_COV_CHLD MALE                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2020.0,0.1
89,SI_COV_CHLD BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2020.0,2.6
90,SI_COV_UEMP FEMALE                        ,1.0,1.3,1.3.1,SI_COV_UEMP,2020.0,0.0
91,SI_COV_UEMP MALE                        ,1.0,1.3,1.3.1,SI_COV_UEMP,2020.0,0.0
92,SI_COV_UEMP BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_UEMP,2020.0,0.0
93,SI_COV_VULN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_VULN,2017.0,2.0
94,SI_COV_VULN MALE                        ,1.0,1.3,1.3.1,SI_COV_VULN,2017.0,0.2
95,SI_COV_VULN FEMALE                        ,1.0,1.3,1.3.1,SI_COV_VULN,2017.0,3.5
96,SI_COV_VULN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_VULN,2020.0,6.8
97,SI_COV_WKINJRY MALE                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2017.0,20.0
98,SI_COV_WKINJRY FEMALE                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2017.0,19.4
99,SI_COV_WKINJRY BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2017.0,19.8
100,SI_COV_WKINJRY FEMALE                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2020.0,19.0
101,SI_COV_WKINJRY MALE                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2020.0,18.4
102,SI_COV_WKINJRY BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2020.0,18.6
103,SI_COV_BENFTS BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_BENFTS,2017.0,10.3
104,SI_COV_BENFTS FEMALE                        ,1.0,1.3,1.3.1,SI_COV_BENFTS,2017.0,8.3
105,SI_COV_BENFTS MALE                        ,1.0,1.3,1.3.1,SI_COV_BENFTS,2017.0,12.5
106,SI_COV_BENFTS BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_BENFTS,2018.0,14.1
107,SI_COV_BENFTS BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_BENFTS,2020.0,14.5
108,SI_COV_DISAB BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_DISAB,2016.0,2.3
109,SI_COV_DISAB BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_DISAB,2017.0,3.3
110,SI_COV_DISAB MALE                        ,1.0,1.3,1.3.1,SI_COV_DISAB,2017.0,4.5
111,SI_COV_DISAB FEMALE                        ,1.0,1.3,1.3.1,SI_COV_DISAB,2017.0,1.8
112,SI_COV_DISAB BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_DISAB,2020.0,2.2
113,SI_COV_LMKT                       _T  ,1.0,1.3,1.3.1,SI_COV_LMKT,2014.0,3.04166
114,SI_COV_LMKT                       Q1  ,1.0,1.3,1.3.1,SI_COV_LMKT,2014.0,1.25007
115,SI_COV_PENSN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2016.0,8.3
116,SI_COV_PENSN MALE                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2017.0,36.2
117,SI_COV_PENSN FEMALE                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2017.0,18.1
118,SI_COV_PENSN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2017.0,26.2
119,SI_COV_PENSN MALE                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2020.0,23.1
120,SI_COV_PENSN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2020.0,16.7
