,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
75,SI_COV_POOR BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_POOR,2018.0,100.0
76,SI_COV_SOCAST                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2012.0,81.17284000000001
77,SI_COV_SOCAST                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2012.0,53.79379
78,SI_COV_SOCAST                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2014.0,57.1962
79,SI_COV_SOCAST                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2014.0,85.01281
80,SI_COV_SOCAST                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2015.0,75.55138000000001
81,SI_COV_SOCAST                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCAST,2015.0,48.74023
82,SI_COV_SOCINS                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCINS,2014.0,1.57925
83,SI_COV_SOCINS                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCINS,2014.0,9.30069
84,SI_COV_SOCINS                       _T  ,1.0,1.3,1.3.1,SI_COV_SOCINS,2015.0,8.17875
85,SI_COV_SOCINS                       Q1  ,1.0,1.3,1.3.1,SI_COV_SOCINS,2015.0,1.53011
86,SI_COV_CHLD BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_CHLD,2020.0,25.6
87,SI_COV_UEMP FEMALE                        ,1.0,1.3,1.3.1,SI_COV_UEMP,2020.0,0.0
88,SI_COV_UEMP MALE                        ,1.0,1.3,1.3.1,SI_COV_UEMP,2020.0,0.0
89,SI_COV_UEMP BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_UEMP,2020.0,0.0
90,SI_COV_VULN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_VULN,2020.0,16.5
91,SI_COV_WKINJRY BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2015.0,15.4
92,SI_COV_WKINJRY BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_WKINJRY,2020.0,22.5
93,SI_COV_BENFTS BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_BENFTS,2020.0,27.8
94,SI_COV_DISAB BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_DISAB,2020.0,2.5
95,SI_COV_LMKT                       Q1  ,1.0,1.3,1.3.1,SI_COV_LMKT,2012.0,3.01936
96,SI_COV_LMKT                       _T  ,1.0,1.3,1.3.1,SI_COV_LMKT,2012.0,3.43333
97,SI_COV_LMKT                       Q1  ,1.0,1.3,1.3.1,SI_COV_LMKT,2014.0,4.364269999999999
98,SI_COV_LMKT                       _T  ,1.0,1.3,1.3.1,SI_COV_LMKT,2014.0,4.20993
99,SI_COV_LMKT                       Q1  ,1.0,1.3,1.3.1,SI_COV_LMKT,2015.0,4.71528
100,SI_COV_LMKT                       _T  ,1.0,1.3,1.3.1,SI_COV_LMKT,2015.0,5.44319
101,SI_COV_PENSN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2016.0,14.0
102,SI_COV_PENSN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2019.0,14.1
103,SI_COV_PENSN BOTHSEX                        ,1.0,1.3,1.3.1,SI_COV_PENSN,2020.0,14.8
104,SP_ACS_BSRVH2O          RURAL               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,78.0
105,SP_ACS_BSRVH2O          ALLAREA               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,86.0
106,SP_ACS_BSRVH2O          URBAN               ,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,2012.0,94.0
